record_id,date,day_of_week,warehouse_id,warehouse_name,city,zone,product_id,product_name,category,subcategory,brand,unit_price_inr,cost_price_inr,opening_stock,units_sold,units_returned,return_reason,damaged_units,closing_stock,reorder_level,max_capacity,restock_quantity,availability_status,storage_type,shelf_life_days,expiry_date,supplier_name,delivery_time_mins,customer_rating,revenue_inr,profit_inr
25,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P017,Parle-G Biscuit 200g,Bakery,Biscuits,Parle,25,19,91,64,0,Not Returned,1,27,45,300,0,Low Stock,Dry Storage,210,2026-12-28,Amul Cooperative,11.3,4.9,1600,384
26,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P017,Parle-G Biscuit 200g,Bakery,Biscuits,Parle,25,19,242,70,2,Expired Product,2,174,37,250,0,In Stock,Dry Storage,210,2026-12-28,Amul Cooperative,6.0,4.6,1750,420
27,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P020,Fresh Tomato 1kg,Fruits & Vegetables,Vegetables,Local Farm,40,26,216,27,0,Not Returned,0,189,45,300,0,In Stock,Cold Storage,10,2026-06-11,Reliance Retail Wholesale,8.6,4.9,1080,378
28,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P007,Coca-Cola 750ml,Beverages,Soft Drinks,Coca-Cola,40,32,102,47,3,Customer Changed Mind,1,58,30,200,0,In Stock,Dry Storage,270,2027-02-26,HUL Direct Distribution,9.5,4.8,1880,376
29,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P005,Aashirvaad Atta 5kg,Grocery,Atta,Aashirvaad,289,255,31,14,1,Damaged Packaging,0,18,15,100,0,In Stock,Dry Storage,120,2026-09-29,Local Vendor Network,11.3,4.7,4046,476
30,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P012,Nescafe Classic Coffee 50g,Beverages,Coffee,Nescafe,175,152,75,70,5,Expired Product,0,10,15,100,30,Low Stock,Dry Storage,365,2027-06-01,Reliance Retail Wholesale,13.9,3.7,12250,1610
31,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P006,Maggi Noodles 70g,Instant Food,Noodles,Nestle,14,11,9,0,0,Not Returned,0,9,15,100,0,Low Stock,Dry Storage,270,2027-02-26,National FMCG Supplies,14.8,4.8,0,0
32,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P018,Mother Dairy Curd 400g,Dairy,Curd,Mother Dairy,40,33,42,4,0,Not Returned,0,38,15,100,0,In Stock,Cold Storage,7,2026-06-08,Reliance Retail Wholesale,10.1,4.1,160,28
33,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P025,Huggies Diapers Medium 34pc,Baby Care,Diapers,Huggies,599,510,171,62,1,Expired Product,0,110,30,200,0,In Stock,Dry Storage,1095,2029-05-31,Metro Cash Carry,12.4,4.0,37138,5518
34,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P001,Amul Toned Milk 1L,Dairy,Milk,Amul,62,54,295,60,2,Expired Product,4,237,45,300,0,In Stock,Cold Storage,5,2026-06-06,HUL Direct Distribution,10.5,4.0,3720,480
35,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P011,Real Fruit Juice 1L,Beverages,Juice,Real,110,92,48,6,1,Damaged Packaging,2,43,37,250,0,In Stock,Dry Storage,180,2026-11-28,ITC Supply Chain,10.9,4.0,660,108
36,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P008,Lays Classic 52g,Snacks,Chips,Lays,20,16,108,52,1,Customer Changed Mind,0,57,30,200,0,In Stock,Dry Storage,150,2026-10-29,FreshFarm Distributors,6.0,4.4,1040,208
37,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P019,Fresh Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,35,24,7,6,0,Not Returned,0,1,15,100,50,Low Stock,Cold Storage,15,2026-06-16,Local Vendor Network,12.4,3.9,210,66
38,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P002,Amul Butter 500g,Dairy,Butter,Amul,275,245,31,12,0,Not Returned,0,19,15,100,0,In Stock,Cold Storage,180,2026-11-28,Reliance Retail Wholesale,10.2,5.0,3300,360
39,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,229,17,0,Not Returned,3,212,45,300,0,In Stock,Dry Storage,365,2027-06-01,ITC Supply Chain,8.7,4.6,4080,595
40,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P022,McCain French Fries 420g,Frozen Food,Frozen Snacks,McCain,149,125,71,59,2,Expired Product,1,14,22,150,80,Low Stock,Frozen,365,2027-06-01,National FMCG Supplies,13.3,4.5,8791,1416
41,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P004,Tata Salt 1kg,Grocery,Salt,Tata,28,22,206,70,3,Damaged Packaging,0,139,37,250,0,In Stock,Dry Storage,730,2028-05-31,FreshFarm Distributors,9.5,3.8,1960,420
42,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P014,Surf Excel 1kg,Household,Detergent,Surf Excel,135,112,7,1,0,Not Returned,0,6,45,300,80,Low Stock,Dry Storage,730,2028-05-31,Reliance Retail Wholesale,13.8,4.5,135,23
43,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P010,Cadbury Dairy Milk 55g,Snacks,Chocolate,Cadbury,50,41,104,62,0,Not Returned,1,42,22,150,0,In Stock,Dry Storage,240,2027-01-27,HUL Direct Distribution,12.9,3.8,3100,558
44,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,102,7,0,Not Returned,1,95,22,150,0,In Stock,Dry Storage,730,2028-05-31,Metro Cash Carry,7.3,4.9,385,70
45,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P009,Fortune Sunflower Oil 1L,Grocery,Cooking Oil,Fortune,165,148,0,0,0,Not Returned,0,0,37,250,0,Out of Stock,Dry Storage,365,2027-06-01,HUL Direct Distribution,8.7,4.9,0,0
46,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P021,Banana Robusta 1 Dozen,Fruits & Vegetables,Fruits,Local Farm,55,38,108,71,5,Not Returned,0,42,30,200,0,In Stock,Cold Storage,6,2026-06-07,HUL Direct Distribution,10.0,4.5,3905,1207
47,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P015,Colgate Toothpaste 150g,Personal Care,Oral Care,Colgate,95,78,48,18,1,Expired Product,0,31,22,150,0,In Stock,Dry Storage,730,2028-05-31,FreshFarm Distributors,6.2,3.6,1710,306
48,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P023,Amul Ice Cream 700ml,Frozen Food,Ice Cream,Amul,210,178,277,7,1,Not Returned,5,271,45,300,0,In Stock,Frozen,180,2026-11-28,Local Vendor Network,11.6,4.4,1470,224
49,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P003,Britannia Brown Bread,Bakery,Bread,Britannia,45,36,6,4,0,Not Returned,0,2,15,100,20,Low Stock,Dry Storage,4,2026-06-05,Metro Cash Carry,12.6,4.8,180,36
50,2026-06-01,Monday,WH002,Pune Wakad Dark Store,Pune,West,P013,Haldiram Bhujia 200g,Snacks,Namkeen,Haldiram,65,54,65,10,1,Expired Product,1,56,15,100,0,In Stock,Dry Storage,120,2026-09-29,National FMCG Supplies,11.9,3.6,650,110
51,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P003,Britannia Brown Bread,Bakery,Bread,Britannia,45,36,80,9,0,Not Returned,2,71,37,250,0,In Stock,Dry Storage,4,2026-06-05,FreshFarm Distributors,11.9,3.5,405,81
52,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P022,McCain French Fries 420g,Frozen Food,Frozen Snacks,McCain,149,125,159,72,1,Damaged Packaging,2,88,37,250,0,In Stock,Frozen,365,2027-06-01,National FMCG Supplies,8.9,4.5,10728,1728
53,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P008,Lays Classic 52g,Snacks,Chips,Lays,20,16,109,64,3,Wrong Item Delivered,0,48,45,300,0,In Stock,Dry Storage,150,2026-10-29,Metro Cash Carry,8.1,4.0,1280,256
54,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P013,Haldiram Bhujia 200g,Snacks,Namkeen,Haldiram,65,54,17,7,0,Not Returned,0,10,30,200,0,Low Stock,Dry Storage,120,2026-09-29,Amul Cooperative,13.4,4.8,455,77
55,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P004,Tata Salt 1kg,Grocery,Salt,Tata,28,22,112,69,3,Not Returned,1,46,22,150,0,In Stock,Dry Storage,730,2028-05-31,Amul Cooperative,10.3,3.9,1932,414
56,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P019,Fresh Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,35,24,270,1,0,Not Returned,6,269,45,300,0,In Stock,Cold Storage,15,2026-06-16,Amul Cooperative,8.7,4.1,35,11
57,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P023,Amul Ice Cream 700ml,Frozen Food,Ice Cream,Amul,210,178,17,8,1,Damaged Packaging,0,10,15,100,0,Low Stock,Frozen,180,2026-11-28,Metro Cash Carry,11.0,4.4,1680,256
58,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P002,Amul Butter 500g,Dairy,Butter,Amul,275,245,72,26,1,Not Returned,0,47,30,200,0,In Stock,Cold Storage,180,2026-11-28,Local Vendor Network,15.4,4.6,7150,780
59,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P025,Huggies Diapers Medium 34pc,Baby Care,Diapers,Huggies,599,510,67,64,2,Customer Changed Mind,0,5,22,150,0,Low Stock,Dry Storage,1095,2029-05-31,FreshFarm Distributors,7.8,4.9,38336,5696
60,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P014,Surf Excel 1kg,Household,Detergent,Surf Excel,135,112,81,54,5,Wrong Item Delivered,2,32,15,100,0,In Stock,Dry Storage,730,2028-05-31,FreshFarm Distributors,12.4,4.1,7290,1242
61,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P011,Real Fruit Juice 1L,Beverages,Juice,Real,110,92,42,8,0,Not Returned,1,34,15,100,0,In Stock,Dry Storage,180,2026-11-28,Amul Cooperative,12.4,4.9,880,144
62,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P010,Cadbury Dairy Milk 55g,Snacks,Chocolate,Cadbury,50,41,113,70,5,Not Returned,0,48,22,150,0,In Stock,Dry Storage,240,2027-01-27,ITC Supply Chain,10.8,4.1,3500,630
63,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,4,0,0,Not Returned,0,4,45,300,0,Low Stock,Dry Storage,730,2028-05-31,Metro Cash Carry,8.2,4.3,0,0
64,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P009,Fortune Sunflower Oil 1L,Grocery,Cooking Oil,Fortune,165,148,18,11,2,Quality Issue,0,9,45,300,30,Low Stock,Dry Storage,365,2027-06-01,Metro Cash Carry,9.5,4.4,1815,187
65,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P006,Maggi Noodles 70g,Instant Food,Noodles,Nestle,14,11,32,2,0,Not Returned,0,30,37,250,0,Low Stock,Dry Storage,270,2027-02-26,Local Vendor Network,14.2,4.6,28,6
66,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P005,Aashirvaad Atta 5kg,Grocery,Atta,Aashirvaad,289,255,45,13,1,Not Returned,1,33,15,100,0,In Stock,Dry Storage,120,2026-09-29,Reliance Retail Wholesale,11.2,4.0,3757,442
67,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P021,Banana Robusta 1 Dozen,Fruits & Vegetables,Fruits,Local Farm,55,38,45,35,1,Customer Changed Mind,1,11,15,100,30,Low Stock,Cold Storage,6,2026-06-07,Metro Cash Carry,11.9,4.9,1925,595
68,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P015,Colgate Toothpaste 150g,Personal Care,Oral Care,Colgate,95,78,41,11,0,Not Returned,0,30,22,150,0,In Stock,Dry Storage,730,2028-05-31,ITC Supply Chain,11.8,4.7,1045,187
69,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P018,Mother Dairy Curd 400g,Dairy,Curd,Mother Dairy,40,33,22,10,0,Not Returned,0,12,15,100,80,Low Stock,Cold Storage,7,2026-06-08,ITC Supply Chain,11.7,4.0,400,70
70,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P017,Parle-G Biscuit 200g,Bakery,Biscuits,Parle,25,19,68,20,0,Not Returned,0,48,22,150,0,In Stock,Dry Storage,210,2026-12-28,National FMCG Supplies,11.5,4.4,500,120
71,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P012,Nescafe Classic Coffee 50g,Beverages,Coffee,Nescafe,175,152,223,4,0,Not Returned,2,219,37,250,0,In Stock,Dry Storage,365,2027-06-01,HUL Direct Distribution,6.0,4.4,700,92
72,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P007,Coca-Cola 750ml,Beverages,Soft Drinks,Coca-Cola,40,32,51,29,0,Not Returned,0,22,22,150,0,Low Stock,Dry Storage,270,2027-02-26,Amul Cooperative,12.1,4.7,1160,232
73,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P020,Fresh Tomato 1kg,Fruits & Vegetables,Vegetables,Local Farm,40,26,57,1,0,Not Returned,0,56,22,150,0,In Stock,Cold Storage,10,2026-06-11,Reliance Retail Wholesale,15.7,3.8,40,14
74,2026-06-01,Monday,WH003,Mumbai Andheri Dark Store,Mumbai,West,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,84,35,2,Damaged Packaging,0,51,37,250,0,In Stock,Dry Storage,365,2027-06-01,Amul Cooperative,11.4,3.6,8400,1225
75,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P021,Banana Robusta 1 Dozen,Fruits & Vegetables,Fruits,Local Farm,55,38,59,24,1,Quality Issue,0,36,45,300,0,Low Stock,Cold Storage,6,2026-06-07,Amul Cooperative,15.1,5.0,1320,408
76,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P017,Parle-G Biscuit 200g,Bakery,Biscuits,Parle,25,19,90,55,2,Damaged Packaging,0,37,15,100,0,In Stock,Dry Storage,210,2026-12-28,Reliance Retail Wholesale,13.5,4.7,1375,330
77,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P013,Haldiram Bhujia 200g,Snacks,Namkeen,Haldiram,65,54,110,8,0,Not Returned,1,102,30,200,0,In Stock,Dry Storage,120,2026-09-29,Local Vendor Network,8.7,3.8,520,88
78,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P022,McCain French Fries 420g,Frozen Food,Frozen Snacks,McCain,149,125,160,15,0,Not Returned,1,145,45,300,0,In Stock,Frozen,365,2027-06-01,Amul Cooperative,16.0,4.3,2235,360
79,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P018,Mother Dairy Curd 400g,Dairy,Curd,Mother Dairy,40,33,158,52,3,Wrong Item Delivered,2,109,45,300,0,In Stock,Cold Storage,7,2026-06-08,ITC Supply Chain,12.1,4.4,2080,364
80,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P011,Real Fruit Juice 1L,Beverages,Juice,Real,110,92,141,16,0,Not Returned,1,125,30,200,0,In Stock,Dry Storage,180,2026-11-28,Reliance Retail Wholesale,16.0,4.0,1760,288
81,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P001,Amul Toned Milk 1L,Dairy,Milk,Amul,62,54,170,48,3,Not Returned,0,125,37,250,0,In Stock,Cold Storage,5,2026-06-06,Metro Cash Carry,10.3,3.6,2976,384
82,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P004,Tata Salt 1kg,Grocery,Salt,Tata,28,22,291,38,1,Customer Changed Mind,3,254,45,300,0,In Stock,Dry Storage,730,2028-05-31,FreshFarm Distributors,16.6,3.8,1064,228
83,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P009,Fortune Sunflower Oil 1L,Grocery,Cooking Oil,Fortune,165,148,73,26,1,Customer Changed Mind,0,48,30,200,0,In Stock,Dry Storage,365,2027-06-01,Local Vendor Network,15.6,3.6,4290,442
84,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P006,Maggi Noodles 70g,Instant Food,Noodles,Nestle,14,11,113,56,2,Not Returned,1,59,37,250,0,In Stock,Dry Storage,270,2027-02-26,Reliance Retail Wholesale,15.0,4.3,784,168
85,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P010,Cadbury Dairy Milk 55g,Snacks,Chocolate,Cadbury,50,41,242,21,2,Not Returned,3,223,45,300,0,In Stock,Dry Storage,240,2027-01-27,National FMCG Supplies,10.4,4.4,1050,189
86,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P005,Aashirvaad Atta 5kg,Grocery,Atta,Aashirvaad,289,255,131,79,6,Wrong Item Delivered,1,58,30,200,0,In Stock,Dry Storage,120,2026-09-29,National FMCG Supplies,11.2,4.1,22831,2686
87,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P019,Fresh Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,35,24,79,28,1,Expired Product,1,52,22,150,0,In Stock,Cold Storage,15,2026-06-16,Metro Cash Carry,13.1,4.1,980,308
88,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P002,Amul Butter 500g,Dairy,Butter,Amul,275,245,5,1,1,Customer Changed Mind,0,5,15,100,30,Low Stock,Cold Storage,180,2026-11-28,National FMCG Supplies,11.2,3.8,275,30
89,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P015,Colgate Toothpaste 150g,Personal Care,Oral Care,Colgate,95,78,106,80,1,Quality Issue,0,27,37,250,0,Low Stock,Dry Storage,730,2028-05-31,ITC Supply Chain,9.5,4.0,7600,1360
90,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P007,Coca-Cola 750ml,Beverages,Soft Drinks,Coca-Cola,40,32,102,31,2,Expired Product,0,73,37,250,0,In Stock,Dry Storage,270,2027-02-26,FreshFarm Distributors,11.6,4.7,1240,248
91,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,99,54,1,Expired Product,0,46,15,100,0,In Stock,Dry Storage,730,2028-05-31,Metro Cash Carry,13.9,4.8,2970,540
92,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,237,6,0,Not Returned,4,231,45,300,0,In Stock,Dry Storage,365,2027-06-01,Reliance Retail Wholesale,15.4,3.9,1440,210
93,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P025,Huggies Diapers Medium 34pc,Baby Care,Diapers,Huggies,599,510,58,8,0,Not Returned,1,50,15,100,0,In Stock,Dry Storage,1095,2029-05-31,HUL Direct Distribution,6.0,4.7,4792,712
94,2026-06-01,Monday,WH004,Delhi Dwarka Dark Store,Delhi,North,P014,Surf Excel 1kg,Household,Detergent,Surf Excel,135,112,286,76,2,Wrong Item Delivered,6,212,45,300,0,In Stock,Dry Storage,730,2028-05-31,HUL Direct Distribution,7.3,4.8,10260,1748
95,2026-06-01,Monday,WH005,Bangalore Koramangala Dark Store,Bangalore,South,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,138,10,0,Not Returned,2,128,30,200,0,In Stock,Dry Storage,365,2027-06-01,Metro Cash Carry,9.8,4.9,2400,350
